region,dataset,model_name,seed,error_type,dimension,value,count,share_within_error_type
seattle,seattle_pooled_pairwise,logreg,42,fp,distance_bucket,<0.5nm,2,0.2857142857142857
seattle,seattle_pooled_pairwise,logreg,42,fp,distance_bucket,0.5-1.0nm,1,0.14285714285714285
seattle,seattle_pooled_pairwise,logreg,42,fp,tcpa_bucket,5-10min,2,0.2857142857142857
seattle,seattle_pooled_pairwise,logreg,42,fp,tcpa_bucket,<0min,2,0.2857142857142857
seattle,seattle_pooled_pairwise,logreg,42,fp,tcpa_bucket,0-5min,1,0.14285714285714285
seattle,seattle_pooled_pairwise,logreg,42,fp,tcpa_bucket,10-20min,1,0.14285714285714285
seattle,seattle_pooled_pairwise,logreg,42,fp,tcpa_bucket,>=20min,1,0.14285714285714285
seattle,seattle_pooled_pairwise,logreg,42,fn,encounter_type,diverging,7,0.5384615384615384
seattle,seattle_pooled_pairwise,logreg,42,fn,encounter_type,crossing,6,0.46153846153846156
seattle,seattle_pooled_pairwise,logreg,42,fn,own_vessel_type,passenger,13,1.0
seattle,seattle_pooled_pairwise,logreg,42,fn,target_vessel_type,passenger,9,0.6923076923076923
seattle,seattle_pooled_pairwise,logreg,42,fn,target_vessel_type,tug,3,0.23076923076923078
seattle,seattle_pooled_pairwise,logreg,42,fn,target_vessel_type,tanker,1,0.07692307692307693
seattle,seattle_pooled_pairwise,logreg,42,fn,distance_bucket,2.0-5.0nm,7,0.5384615384615384
seattle,seattle_pooled_pairwise,logreg,42,fn,distance_bucket,<0.5nm,4,0.3076923076923077
seattle,seattle_pooled_pairwise,logreg,42,fn,distance_bucket,0.5-1.0nm,1,0.07692307692307693
seattle,seattle_pooled_pairwise,logreg,42,fn,distance_bucket,1.0-2.0nm,1,0.07692307692307693
seattle,seattle_pooled_pairwise,logreg,42,fn,tcpa_bucket,0-5min,5,0.38461538461538464
seattle,seattle_pooled_pairwise,logreg,42,fn,tcpa_bucket,10-20min,3,0.23076923076923078
seattle,seattle_pooled_pairwise,logreg,42,fn,tcpa_bucket,5-10min,3,0.23076923076923078
seattle,seattle_pooled_pairwise,logreg,42,fn,tcpa_bucket,<0min,2,0.15384615384615385
