dataset,model_family,model_name,runs,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,ece_mean,ece_std,brier_mean,brier_std,positive_count_mean
houston_pooled_pairwise,tabular,hgbt,3,0.8285714285714286,0.0,0.9666666666666667,0.0,0.725,0.0,0.9833333333333333,0.0,0.022859754716981127,0.0,0.02384530225635378,0.0,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_weighted_temp,3,0.8056260581254172,0.009343202021182932,0.7322119200824171,0.032396363021563394,0.9,0.06614378277661478,0.9897569444444445,0.0015764531791374542,0.18175333333333335,0.013766043066605338,0.10376339036369026,0.005507272222874795,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_weighted,3,0.8053971203964795,0.009069720788502756,0.7225247118657971,0.0390690998888528,0.9166666666666666,0.08036375634160797,0.9897569444444445,0.0015764531791374542,0.1788169567610063,0.012018451047632599,0.10435481663303536,0.006177390077232581,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_focal_temp,3,0.8002783151453221,0.028971883069354165,0.7339297281001036,0.04775834155017503,0.8833333333333333,0.052041649986653366,0.98828125,0.005135806880670035,0.12954763600628932,0.014567164583126999,0.08401865436843634,0.005935423245063071,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_focal,3,0.7939820475892865,0.03078562792274332,0.7369031373528866,0.058873274212217934,0.8666666666666666,0.07216878364870322,0.98828125,0.005135806880670035,0.22769631918238994,0.03143043027643039,0.09452149140307392,0.01205528124401344,40.0
houston_pooled_pairwise,tabular,torch_mlp,3,0.7572741460031213,0.043877739077580406,0.8301476301476302,0.08984655895648003,0.7,0.04999999999999999,0.9753689236111112,0.0029808419829350516,0.22279795754716974,0.04199113315675623,0.09095115929516819,0.01288963469075082,40.0
houston_pooled_pairwise,tabular,logreg,3,0.7317073170731707,0.0,0.7142857142857143,0.0,0.75,0.0,0.9563802083333334,0.0,0.0716120754716981,0.0,0.0636036584235755,0.0,40.0
houston_pooled_pairwise,tabular,rule_score,3,0.41379310344827586,0.0,0.6666666666666666,0.0,0.3,0.0,0.9052083333333334,0.0,0.17181186792452835,0.0,0.08762364238159912,0.0,40.0
nola_pooled_pairwise,tabular,hgbt,3,0.6015037593984962,0.0,0.4819277108433735,0.0,0.8,0.0,0.9707494322482967,0.0,0.023666900072939458,0.0,0.02622324953422467,0.0,50.0
nola_pooled_pairwise,tabular,rule_score,3,0.44549763033175355,0.0,0.2919254658385093,0.0,0.94,0.0,0.9735200605601816,0.0,0.14123825237053245,0.0,0.04393154652931583,0.0,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_focal_temp,3,0.42770017980873765,0.001642406826124889,0.2980380527924714,0.0063432854055013345,0.76,0.052915026221291794,0.9599444865001262,0.0031424379109126076,0.08935223340627277,0.014002372286521455,0.07212684833666852,0.009184266185563452,50.0
nola_pooled_pairwise,tabular,logreg,3,0.4247787610619469,0.0,0.38095238095238093,0.0,0.48,0.0,0.9204087812263436,0.0,0.05305778264040847,0.0,0.04775330946909708,0.0,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_weighted_temp,3,0.4240367374413041,0.014948501613882397,0.29144845545830733,0.021290548095229917,0.7866666666666666,0.06429100507328636,0.9600807469089074,0.003540775117308455,0.09582254583029419,0.009681917917073271,0.07668980615675199,0.006471135495224131,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_focal,3,0.423544180290807,0.013425661409208783,0.29826456210664204,0.007748829319928687,0.7333333333333334,0.06429100507328636,0.9599444865001262,0.0031424379109126076,0.18469763505956724,0.008887425473146427,0.07258458604001147,0.006695087796905906,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_weighted,3,0.4184349265493731,0.021747567165212627,0.28873527905785973,0.01945475231287519,0.7666666666666667,0.08082903768654758,0.9600807469089074,0.003540775117308455,0.10927492924872355,0.008509979816004574,0.06921324234832629,0.007706322292758886,50.0
nola_pooled_pairwise,tabular,torch_mlp,3,0.41506819421713037,0.0428347491354386,0.31234501347708893,0.027157347502716374,0.62,0.08717797887081348,0.896512742871562,0.008586773005937265,0.18921437247751036,0.026686432788021863,0.07698416280325893,0.009964192464918675,50.0
seattle_pooled_pairwise,tabular,logreg,3,0.8214285714285714,0.0,0.8679245283018868,0.0,0.7796610169491526,0.0,0.9679277085869463,0.0,0.04816747268408552,0.0,0.05180571749980046,0.0,59.0
seattle_pooled_pairwise,regional_raster_cnn,cnn_weighted,3,0.8131254061078622,0.012367546721744104,0.8464632947068544,0.055976297606912195,0.7853107344632768,0.0352824745672226,0.962621344070918,0.002411312344561034,0.30279761916072834,0.0063996079662543386,0.184622004539521,0.008040032015060702,59.0
