region,dataset,model_name,threshold,tp,fp,tn,fn,precision,recall,f1,weighted_cost_per_sample,weighted_cost_normalized,utility_profile,fn_weight,fp_weight,n_samples,positive_count,negative_count
houston,houston_pooled_pairwise,hgbt,0.31,32,6,378,8,0.8421,0.8000,0.8205,0.108491,0.078767,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.32,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.33,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.34,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.35,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.36,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.37,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.38,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.39,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.40,31,5,379,9,0.8611,0.7750,0.8158,0.117925,0.085616,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.41,31,5,379,9,0.8611,0.7750,0.8158,0.117925,0.085616,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.42,31,5,379,9,0.8611,0.7750,0.8158,0.117925,0.085616,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.43,31,5,379,9,0.8611,0.7750,0.8158,0.117925,0.085616,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.44,31,4,380,9,0.8857,0.7750,0.8267,0.115566,0.083904,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.45,31,3,381,9,0.9118,0.7750,0.8378,0.113208,0.082192,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.46,31,3,381,9,0.9118,0.7750,0.8378,0.113208,0.082192,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.47,30,3,381,10,0.9091,0.7500,0.8219,0.125000,0.090753,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.48,29,3,381,11,0.9062,0.7250,0.8056,0.136792,0.099315,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.49,29,3,381,11,0.9062,0.7250,0.8056,0.136792,0.099315,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.50,29,3,381,11,0.9062,0.7250,0.8056,0.136792,0.099315,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.51,29,3,381,11,0.9062,0.7250,0.8056,0.136792,0.099315,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.52,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.53,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.54,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.55,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.56,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.57,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.58,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.59,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.60,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.61,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.62,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.63,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.64,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.65,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.66,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.67,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.68,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.69,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.70,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.71,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.72,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.73,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.74,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.75,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.76,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.77,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.78,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.79,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.80,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.81,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.82,29,2,382,11,0.9355,0.7250,0.8169,0.134434,0.097603,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.83,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.84,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.85,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.86,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.87,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.88,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.89,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.90,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.91,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
