model_name,pair_count,negative_fixed_count,negative_retuned_count,negative_fixed_ci_count,mean_delta_f1_fixed,mean_delta_f1_retuned,mean_retune_gain_f1,max_retune_gain_f1
extra_trees,2,2,2,0,-0.17543843975306217,-0.12768137286290582,0.04775706689015635,0.0880319954110168
hgbt,2,2,2,0,-0.17430296240975857,-0.133056133056133,0.04124682935362556,0.07927927927927936
logreg,2,2,2,0,-0.23091613038246223,-0.19451052956207593,0.0364056008203863,0.06842970267443604
random_forest,2,2,2,0,-0.20494070359758038,-0.11549900275189984,0.08944170084568054,0.1585953989647081
rule_score,2,0,0,0,0.5435893596481296,0.594183882122989,0.05059452247485935,0.09403546933424389
torch_mlp,2,2,2,0,-0.17629317544869055,-0.14981374234088718,0.026479433107803374,0.039822643451083994
