region,dataset,seed,model_name,profile,fp_cost,fn_cost,recommended_threshold,best_threshold,best_cost,recommended_cost,regret,fp_at_rec,fn_at_rec,fp_at_best,fn_at_best,predictions_csv_path
houston,houston_pooled_pairwise,48,hgbt,fp_heavy,3.0,1.0,0.95,0.95,14.0,14.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_48/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,49,hgbt,balanced,1.0,1.0,0.95,0.95,12.0,12.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_49/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,49,hgbt,fn_heavy,1.0,3.0,0.95,0.2,22.0,34.0,12.0,1,11,7,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_49/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,49,hgbt,fn_very_heavy,1.0,5.0,0.95,0.05,30.0,56.0,26.0,1,11,10,4,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_49/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,49,hgbt,fp_heavy,3.0,1.0,0.95,0.95,14.0,14.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_49/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,50,hgbt,balanced,1.0,1.0,0.95,0.95,12.0,12.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_50/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,50,hgbt,fn_heavy,1.0,3.0,0.95,0.2,22.0,34.0,12.0,1,11,7,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_50/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,50,hgbt,fn_very_heavy,1.0,5.0,0.95,0.05,30.0,56.0,26.0,1,11,10,4,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_50/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,50,hgbt,fp_heavy,3.0,1.0,0.95,0.95,14.0,14.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_50/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,41,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_41/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,41,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_41/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,41,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_41/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,41,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_41/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,42,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_42/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,42,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_42/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,42,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_42/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,42,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_42/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,43,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_43/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,43,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_43/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,43,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_43/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,43,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_43/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,44,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_44/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,44,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_44/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,44,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_44/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,44,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_44/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,45,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_45/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,45,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_45/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,45,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_45/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,45,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_45/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,46,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,46,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,46,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,46,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,47,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,47,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
