source_region,target_region,model_name,transfer_threshold,delta_f1_fixed_threshold,delta_f1_bootstrap_ci_low,delta_f1_bootstrap_ci_high,target_retune_gain_f1,target_best_threshold,delta_f1_if_target_retuned,delta_f1_ci_excludes_zero_negative
houston,nola,hgbt,0.38,-0.13834951456310685,-0.1631382316313823,0.8806888068880688,0.0032143794279717586,0.45,-0.1351351351351351,False
houston,seattle,hgbt,0.38,-0.2102564102564103,-0.24792013311148087,0.8161888701517707,0.07927927927927936,0.94,-0.13097713097713093,False
nola,houston,hgbt,0.16,0.3213420316868593,0.18416523235800342,0.4763894069377098,0.1055428309665597,0.62,0.426884862653419,False
nola,seattle,hgbt,0.16,0.4438711301283665,0.3089430894308943,0.5963466042154567,0.017822147746314854,0.42,0.46169327787468134,False
seattle,houston,extra_trees,0.46,0.0021394950791612244,-0.10684248039914468,0.11529627928341757,0.002841611069928418,0.47,0.0049811061490896424,False
seattle,nola,extra_trees,0.46,0.04878048780487798,-0.04880955336527715,0.14219391474504095,0.006582427270055868,0.44,0.05536291507493385,False
