dataset,recommended_model,comparator_model,n_pairs,recommended_f1_mean,comparator_f1_mean,delta_f1_mean,delta_f1_ci_low,delta_f1_ci_high,delta_f1_sign_p,recommended_ece_mean,comparator_ece_mean,delta_ece_mean,delta_ece_ci_low,delta_ece_ci_high,delta_ece_sign_p,f1_rec_better_ci,ece_rec_lower_ci,note
houston_pooled_pairwise,hgbt,cnn_weighted,10,0.8285714285714286,0.8196568438330925,0.008914584738336206,-0.008910496129455813,0.022695579659188066,0.021484375,0.022859754716981127,0.16743893820754718,-0.14457918349056606,-0.16087588926297175,-0.1296938063502359,0.001953125,False,True,
nola_pooled_pairwise,hgbt,random_forest,10,0.6015037593984962,0.5402280505850654,0.06127570881343084,0.04863033187268241,0.07375309517648192,0.001953125,0.023666900072939458,0.04090062414296135,-0.017233724070021886,-0.018161074558716274,-0.016274956889132015,0.001953125,True,True,
seattle_pooled_pairwise,extra_trees,logreg,10,0.8173697467009166,0.8214285714285714,-0.00405882472765483,-0.020082597668697036,0.011037569921236938,0.75390625,0.030037007363420427,0.04816747268408552,-0.018130465320665094,-0.01910921823040382,-0.017114033711401435,0.001953125,False,True,
