source_region,target_region,model_name,method,status,notes,threshold,source_rows,source_positives,target_rows,target_positives,source_f1_fixed,target_f1_fixed,delta_f1_fixed,target_best_threshold,target_best_f1,target_retune_gain_f1,delta_f1_retuned,target_ece,target_brier,ece_gate_pass,transfer_summary_json_path
houston,nola,torch_mlp,none,completed,,0.65,92,1,2963,414,1.0,0.8268156424581006,-0.17318435754189943,0.74,0.8399518652226233,0.013136222764522754,-0.16004813477737667,0.20349344448194412,0.08408533168307408,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_nola/model_scan_transfer_summary.json
houston,nola,torch_mlp,platt,completed,,0.71,92,1,2963,414,1.0,0.827354260089686,-0.17264573991031396,0.81,0.8387096774193549,0.011355417329668827,-0.16129032258064513,0.12568919413816956,0.05804615368818065,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_nola/model_scan_transfer_summary.json
houston,nola,torch_mlp,isotonic,completed,,0.26,92,1,2963,414,1.0,0.831140350877193,-0.16885964912280704,0.26,0.831140350877193,0.0,-0.16885964912280704,0.020501466556983337,0.037367918574764424,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_nola/model_scan_transfer_summary.json
houston,seattle,rule_score,none,completed,,0.41,92,1,1503,265,0.1111111111111111,0.5825545171339563,0.47144340602284524,0.39,0.6765899864682002,0.09403546933424389,0.5654788753570892,0.13985745043246828,0.11544251973719874,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,rule_score,platt,completed,,0.59,92,1,1503,265,0.1,0.6731034482758621,0.5731034482758621,0.58,0.6774628879892037,0.0043594397133416285,0.5774628879892038,0.24124907009987243,0.15741632210916226,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,rule_score,isotonic,completed,,0.18,92,1,1503,265,0.1,0.6811989100817438,0.5811989100817438,0.2,0.6821282401091405,0.000929330027396702,0.5821282401091405,0.06840750472573154,0.10743784369078982,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,logreg,none,completed,,0.86,92,1,1503,265,1.0,0.7391304347826086,-0.26086956521739135,0.99,0.8075601374570447,0.06842970267443604,-0.1924398625429553,0.21445256353958775,0.1670579757711465,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,logreg,platt,completed,,0.91,92,1,1503,265,1.0,0.7448680351906158,-0.25513196480938416,0.94,0.7768860353130016,0.03201800012238576,-0.2231139646869984,0.27699366666738545,0.18875227028600935,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,logreg,isotonic,completed,,0.27,92,1,1503,265,1.0,0.7391304347826086,-0.26086956521739135,0.92,0.8126094570928196,0.07347902231021097,-0.18739054290718038,0.13709101094027915,0.10281945805910178,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,hgbt,none,completed,,0.38,92,1,1503,265,1.0,0.7897435897435897,-0.2102564102564103,0.94,0.8690228690228691,0.07927927927927936,-0.13097713097713093,0.042790174983366555,0.04928629807198211,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,hgbt,platt,completed,,0.53,92,1,1503,265,1.0,0.7897435897435897,-0.2102564102564103,0.96,0.8690228690228691,0.07927927927927936,-0.13097713097713093,0.13254344218455724,0.0702132242965765,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,hgbt,isotonic,completed,,0.34,92,1,1503,265,1.0,0.78839590443686,-0.21160409556313997,0.67,0.8523206751054853,0.06392477066862523,-0.14767932489451474,0.041501982797749984,0.04709664250790594,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,random_forest,none,completed,,0.24,92,1,1503,265,1.0,0.7220630372492837,-0.27793696275071633,0.57,0.8806584362139918,0.1585953989647081,-0.11934156378600824,0.07205002062541589,0.04212474188736866,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,random_forest,platt,completed,,0.41,92,1,1503,265,1.0,0.721030042918455,-0.27896995708154504,0.82,0.8788501026694046,0.1578200597509496,-0.12114989733059545,0.18900164113652948,0.08193012430760328,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,random_forest,isotonic,completed,,0.15,92,1,1503,265,1.0,0.7148936170212766,-0.28510638297872337,0.71,0.8708333333333333,0.15593971631205672,-0.12916666666666665,0.07482844683647208,0.05813353249326393,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,extra_trees,none,completed,,0.33,92,1,1503,265,1.0,0.7820710973724884,-0.21792890262751163,0.66,0.8701030927835052,0.0880319954110168,-0.12989690721649483,0.08873939055222888,0.0462144182955835,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,extra_trees,platt,completed,,0.59,92,1,1503,265,1.0,0.8130081300813008,-0.1869918699186992,0.88,0.8683127572016461,0.05530462712034534,-0.13168724279835387,0.2003100029809674,0.08987859327565467,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,extra_trees,isotonic,completed,,0.34,92,1,1503,265,1.0,0.8103727714748784,-0.1896272285251216,0.82,0.8683127572016461,0.05793998572676773,-0.13168724279835387,0.061596214703476336,0.046426559801369095,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,torch_mlp,none,completed,,0.65,92,1,1503,265,1.0,0.8205980066445183,-0.17940199335548168,0.83,0.8604206500956023,0.039822643451083994,-0.1395793499043977,0.23023813107119093,0.11054729190121446,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,torch_mlp,platt,completed,,0.71,92,1,1503,265,1.0,0.8205980066445183,-0.17940199335548168,0.89,0.8609523809523809,0.040354374307862595,-0.1390476190476191,0.15955373188085947,0.08507569060393749,False,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
houston,seattle,torch_mlp,isotonic,completed,,0.26,92,1,1503,265,1.0,0.8117839607201309,-0.18821603927986907,0.61,0.8604206500956023,0.04863668937547139,-0.1395793499043977,0.04861578172412615,0.05060355491238955,True,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_model_scan_10seed/houston_to_seattle/model_scan_transfer_summary.json
