source_region,target_region,source_dataset,target_dataset,recommended_model,status,source_f1,target_f1,delta_f1,source_auroc,target_auroc,delta_auroc,target_ece,target_brier,threshold,transfer_summary_json_path,target_predictions_csv_path,target_calibration_summary_json_path,notes
houston,nola,houston_pooled_pairwise,nola_pooled_pairwise,hgbt,completed,1.0,0.8616504854368932,-0.13834951456310685,1.0,0.9824455171394295,-0.017554482860570486,0.024564552143098273,0.030710859527418734,0.4,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/houston_to_nola/hgbt_transfer_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/houston_to_nola/hgbt_transfer_target_predictions.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/houston_to_nola/hgbt_transfer_target_calibration_summary.json,
houston,seattle,houston_pooled_pairwise,seattle_pooled_pairwise,hgbt,completed,1.0,0.7993079584775087,-0.20069204152249132,1.0,0.9691178711860273,-0.030882128813972676,0.042790174983366555,0.04928629807198211,0.4,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/houston_to_seattle/hgbt_transfer_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/houston_to_seattle/hgbt_transfer_target_predictions.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/houston_to_seattle/hgbt_transfer_target_calibration_summary.json,
nola,houston,nola_pooled_pairwise,houston_pooled_pairwise,hgbt,completed,0.425,0.7403314917127072,0.3153314917127072,0.9719159558976492,0.9736129815064201,0.0016970256087708302,0.015935350804597716,0.021573090223440904,0.2,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/nola_to_houston/hgbt_transfer_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/nola_to_houston/hgbt_transfer_target_predictions.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/nola_to_houston/hgbt_transfer_target_calibration_summary.json,
nola,seattle,nola_pooled_pairwise,seattle_pooled_pairwise,hgbt,completed,0.425,0.8576709796672828,0.4326709796672828,0.9719159558976492,0.9763434632852745,0.004427507387625318,0.025994751164338088,0.03558425854903999,0.2,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/nola_to_seattle/hgbt_transfer_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/nola_to_seattle/hgbt_transfer_target_predictions.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/nola_to_seattle/hgbt_transfer_target_calibration_summary.json,
seattle,houston,seattle_pooled_pairwise,houston_pooled_pairwise,extra_trees,completed,0.825,0.7941176470588235,-0.030882352941176472,0.9635258358662614,0.9777197029293724,0.014193867063110988,0.03315403908045973,0.024653412857660272,0.5,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/seattle_to_houston/extra_trees_transfer_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/seattle_to_houston/extra_trees_transfer_target_predictions.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/seattle_to_houston/extra_trees_transfer_target_calibration_summary.json,
seattle,nola,seattle_pooled_pairwise,nola_pooled_pairwise,extra_trees,completed,0.825,0.8485607008760951,0.023560700876095186,0.9635258358662614,0.9850097509111274,0.02148391504486602,0.02719752109348635,0.0337105987390351,0.5,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/seattle_to_nola/extra_trees_transfer_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/seattle_to_nola/extra_trees_transfer_target_predictions.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_transfer_check_10seed/seattle_to_nola/extra_trees_transfer_target_calibration_summary.json,
