dataset,model_family,model_name,runs,f1_mean,f1_std,f1_ci95,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,auroc_ci95,ece_mean,ece_std,ece_ci95,brier_mean,brier_std,brier_ci95,positive_count_mean
houston_pooled_pairwise,tabular,hgbt,10,0.8285714285714286,0.0,0.0,0.9666666666666667,0.0,0.725,0.0,0.9833333333333333,0.0,0.0,0.022859754716981127,0.0,0.0,0.02384530225635378,0.0,0.0,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_weighted,10,0.8196568438330925,0.027420246242923815,0.016995244697541528,0.7438599504713959,0.05168693844587009,0.9175,0.048662671068854774,0.9906966145833334,0.0018019864271271115,0.001116882758796417,0.16743893820754718,0.02676478816938705,0.016588987574609554,0.09568156087845425,0.013495226605604656,0.008364428108307455,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_weighted_temp,10,0.8195196010881554,0.032895745677278,0.020388994407288002,0.755141694414474,0.05247782527232535,0.9,0.05000000000000001,0.9906966145833334,0.0018019864271271115,0.001116882758796417,0.161975529009434,0.032532236306658704,0.020163688965141636,0.09684093561513185,0.011895902539138373,0.007373156782023284,40.0
houston_pooled_pairwise,tabular,extra_trees,10,0.8135347217251688,0.004816176493813196,0.002985097117427454,0.9288025546402909,0.036127819068239794,0.725,0.02041241452319317,0.97638671875,0.0021322760363793117,0.0013215983795303165,0.03480931556603774,0.00379066940133956,0.002349481236328227,0.025983641483697167,0.0007018518400588661,0.0004350122773349796,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_focal_temp,10,0.8116636538652064,0.024917119271153865,0.015443790526876491,0.7375919480045513,0.03399908294523249,0.905,0.04684489774185066,0.989921875,0.003259372336741201,0.002020179904022911,0.11882935117924529,0.017841153219478583,0.011058061330489262,0.07838868146858421,0.010347713459338588,0.006413579248832854,40.0
houston_pooled_pairwise,regional_raster_cnn,cnn_focal,10,0.8088030833748298,0.032801170394491146,0.02033037603971165,0.7497629744095271,0.04874454902525998,0.8825,0.05898446123062129,0.989921875,0.003259372336741201,0.002020179904022911,0.22046056249999998,0.027416647498826982,0.01699301417284136,0.08949985939430447,0.011376794005762856,0.007051409979637236,40.0
houston_pooled_pairwise,tabular,random_forest,10,0.8055866400840355,0.005275626433575141,0.003269867140400536,0.906427174975562,0.013368592560791986,0.725,0.0,0.9775130208333334,0.0011083441295857669,0.0006869588086304962,0.028569442688679243,0.0013426116497709283,0.0008321593219650741,0.021885520721414857,0.0004912646118667729,0.0003044889610381668,40.0
houston_pooled_pairwise,tabular,logreg,10,0.7317073170731707,0.0,0.0,0.7142857142857143,0.0,0.75,0.0,0.9563802083333334,0.0,0.0,0.0716120754716981,0.0,0.0,0.0636036584235755,0.0,0.0,40.0
houston_pooled_pairwise,tabular,torch_mlp,10,0.7302238102065888,0.040984701146504314,0.02540258094947652,0.7736921782187205,0.0892839796303247,0.7025,0.07115124735378855,0.9660546875,0.013244043119695206,0.008208742970792899,0.1902213570754717,0.032446819322910575,0.02011074697011852,0.08325067637619807,0.01338830306891815,0.008298156213671108,40.0
houston_pooled_pairwise,tabular,rule_score,10,0.41379310344827586,0.0,0.0,0.6666666666666666,0.0,0.3,0.0,0.9052083333333334,0.0,0.0,0.17181186792452835,0.0,0.0,0.08762364238159912,0.0,0.0,40.0
