dataset,model_family,model_name,status,f1,precision,recall,auroc,auprc,accuracy,threshold,sample_count,positive_count,negative_count,tp,fp,tn,fn,ece,brier_score,elapsed_seconds,device,epochs,hidden_dim,split_strategy,summary_json_path,predictions_csv_path,notes
nola_pooled_pairwise,tabular,logreg,completed,0.4247787610619469,0.38095238095238093,0.48,0.9204087812263436,0.3804687039134761,0.9525893508388038,0.7,1371,50,1321,24,39,1282,26,0.05305778264040847,0.04775330946909708,0.21089520771056414,,,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/nola/nola_pooled_pairwise_tabular_all_models_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/nola/nola_pooled_pairwise_tabular_all_models_test_predictions.csv,
seattle_pooled_pairwise,regional_raster_cnn,cnn_focal,completed,0.8363636363636363,0.9019607843137255,0.7796610169491526,0.9608577582170614,0.9079205920378709,0.9572446555819477,0.75,421,59,362,46,5,357,13,0.27912704038004754,0.12834742760215684,4.651263582985848,mps,20,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_focal_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_focal_predictions.csv,loss=focal
seattle_pooled_pairwise,regional_raster_cnn,cnn_focal_temp,completed,0.8269230769230769,0.9555555555555556,0.7288135593220338,0.9608577582170614,0.9079205920378709,0.9572446555819477,0.9,421,59,362,43,2,360,16,0.20736405700712593,0.11425933862264126,4.651263582985848,mps,20,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_focal_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_focal_predictions.csv,loss=focal; temperature_scaled
seattle_pooled_pairwise,regional_raster_cnn,cnn_weighted,completed,0.8245614035087719,0.8545454545454545,0.7966101694915254,0.9602022661297874,0.9032504255666105,0.9524940617577197,0.9,421,59,362,47,8,354,12,0.3092885558194774,0.17962347487711153,4.5053339172154665,mps,20,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_weighted_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_weighted_predictions.csv,loss=weighted_bce
seattle_pooled_pairwise,tabular,logreg,completed,0.8214285714285714,0.8679245283018868,0.7796610169491526,0.9679277085869463,0.9015134716397705,0.9524940617577197,0.9,421,59,362,46,7,355,13,0.04816747268408552,0.05180571749980046,0.11047716718167067,,,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv,
seattle_pooled_pairwise,tabular,extra_trees,completed,0.8148148148148148,0.8979591836734694,0.7457627118644068,0.9689577675812342,0.9085188853500065,0.9524940617577197,0.6,421,59,362,44,5,357,15,0.02889364608076008,0.036822391697384785,0.24627245916053653,,,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv,
seattle_pooled_pairwise,regional_raster_cnn,cnn_weighted_temp,completed,0.8099173553719008,0.7903225806451613,0.8305084745762712,0.9602022661297874,0.9032504255666105,0.9453681710213777,0.85,421,59,362,49,13,349,10,0.31398414489311166,0.17861989058120417,4.5053339172154665,mps,20,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_weighted_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_cnn_weighted_predictions.csv,loss=weighted_bce; temperature_scaled
seattle_pooled_pairwise,tabular,random_forest,completed,0.7843137254901961,0.9302325581395349,0.6779661016949152,0.9529216218747073,0.8988690404462153,0.9477434679334917,0.7,421,59,362,40,3,359,19,0.020552016627078406,0.037048943718909697,0.4309274582192302,,,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv,
seattle_pooled_pairwise,tabular,torch_mlp,completed,0.7818181818181819,0.8431372549019608,0.7288135593220338,0.9437213222211818,0.862743996609957,0.9429928741092637,0.75,421,59,362,43,8,354,16,0.18954833491686457,0.0899383850427577,1.7121518338099122,mps,40,64,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv,
seattle_pooled_pairwise,tabular,hgbt,completed,0.7647058823529411,0.9069767441860465,0.6610169491525424,0.9621921528232981,0.8927558460492845,0.9429928741092637,0.95,421,59,362,39,4,358,20,0.04193463895486937,0.04340578027251542,0.40942174987867475,,,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv,
seattle_pooled_pairwise,tabular,rule_score,completed,0.5714285714285714,0.4153846153846154,0.9152542372881356,0.9006227174829105,0.6057827090820042,0.8076009501187649,0.35,421,59,362,54,76,286,5,0.15213149643705468,0.09862959776680752,0.013864708133041859,,,,own_ship,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_multiarea_expanded/seattle/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv,
