region,dataset,model_name,f1_mean,ece,fp,fn,fp_rate,fn_rate,reliability_figure_path,heatmap_contour_figure_svg_path,case_id,timestamp,own_mmsi,target_count,max_risk_mean,calibration_note,error_note
houston,houston_pooled_pairwise,hgbt,0.8285714285714286,0.022859754716981193,1,11,0.0026041666666666665,0.275,/Users/seoki/Desktop/research/outputs/2026-04-04_reliability_report_10seed/houston_recommended_reliability.png,/Users/seoki/Desktop/research/outputs/2026-04-05_uncertainty_contour_panel_10seed/houston_report_figure.svg,2023-10-09T20-26-11Z__368216230__hgbt,2023-10-09T20:26:11Z,368216230,2,0.9537712374213787,Well-calibrated probability profile (ECE <= 0.03).,FN pressure dominates; discuss missed-risk implications.
nola,nola_pooled_pairwise,hgbt,0.6015037593984962,0.023666900072939465,43,10,0.03255109765329296,0.2,/Users/seoki/Desktop/research/outputs/2026-04-04_reliability_report_10seed/nola_recommended_reliability.png,/Users/seoki/Desktop/research/outputs/2026-04-05_uncertainty_contour_panel_10seed/nola_report_figure.svg,2023-08-09T04-02-05Z__368102290__hgbt,2023-08-09T04:02:05Z,368102290,1,0.6402184128617776,Well-calibrated probability profile (ECE <= 0.03).,FP pressure dominates; discuss alert fatigue tradeoff.
seattle,seattle_pooled_pairwise,extra_trees,0.8173697467009166,0.028175486223278014,5,15,0.013812154696132596,0.2542372881355932,/Users/seoki/Desktop/research/outputs/2026-04-04_reliability_report_10seed/seattle_recommended_reliability.png,/Users/seoki/Desktop/research/outputs/2026-04-05_uncertainty_contour_panel_10seed/seattle_report_figure.svg,2023-08-08T19-49-32Z__366929710__extra_trees,2023-08-08T19:49:32Z,366929710,1,0.9461510964769131,Well-calibrated probability profile (ECE <= 0.03).,FN pressure dominates; discuss missed-risk implications.
