source_region,model_name,target_count,completed_target_count,mean_target_f1,min_target_f1,mean_delta_f1,min_delta_f1,mean_target_ece,max_target_ece,all_targets_ece_leq_max
nola,extra_trees,2,2,0.7526742624011145,0.6934673366834171,0.43491725305532014,0.3757103273376227,0.04896582374240026,0.053422958749168366,True
nola,hgbt,2,2,0.7963996843558887,0.7351351351351352,0.3826065809076129,0.3213420316868593,0.020965050984467902,0.025994751164338088,True
nola,logreg,2,2,0.6446651609728916,0.49458483754512633,0.40353040919984196,0.2534500857720767,0.058066232149952955,0.07997489011494253,True
nola,random_forest,2,2,0.7606019151846786,0.6976744186046512,0.3856019151846785,0.3226744186046512,0.03451776626975935,0.03800415862068969,True
nola,rule_score,2,2,0.6141570621996173,0.5517241379310345,0.14662459466714983,0.08419167039856695,0.15374955831968257,0.16764166620689683,False
nola,torch_mlp,2,2,0.6933229576734109,0.6464646464646465,0.3498886142390675,0.3030303030303031,0.16746888357904885,0.18126322554890226,False
