region,dataset,recommended_model,status,baseline_split,baseline_f1,baseline_auroc,baseline_ece,baseline_positive_count,out_of_time_split,out_of_time_f1,out_of_time_auroc,out_of_time_ece,out_of_time_positive_count,delta_f1,delta_auroc,delta_ece,leaderboard_csv_path,summary_json_path,notes
houston,houston_pooled_pairwise,hgbt,completed,own_ship,0.8285714285714286,0.9833333333333333,0.022859754716981127,40.0,timestamp,0.7272727272727273,0.9649007708709202,0.02404045858585858,26.0,-0.10129870129870133,-0.018432562462413093,0.0011807038688774543,/Users/seoki/Desktop/research/outputs/2026-04-04_out_of_time_check_10seed/houston/timestamp_split/houston_pooled_pairwise_all_models_leaderboard.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_out_of_time_check_10seed/houston/timestamp_split/houston_pooled_pairwise_all_models_run_summary.json,
nola,nola_pooled_pairwise,hgbt,completed,own_ship,0.6015037593984962,0.9707494322482967,0.023666900072939458,50.0,timestamp,0.8333333333333334,0.99191708241482,0.02159857168458785,51.0,0.23182957393483716,0.021167650166523333,-0.002068328388351609,/Users/seoki/Desktop/research/outputs/2026-04-04_out_of_time_check_10seed/nola/timestamp_split/nola_pooled_pairwise_all_models_leaderboard.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_out_of_time_check_10seed/nola/timestamp_split/nola_pooled_pairwise_all_models_run_summary.json,
seattle,seattle_pooled_pairwise,extra_trees,completed,own_ship,0.8148148148148148,0.9689577675812342,0.02889364608076008,59.0,timestamp,0.8048780487804879,0.9772816679779701,0.03769154325259516,41.0,-0.009936766034326916,0.008323900396735917,0.00879789717183508,/Users/seoki/Desktop/research/outputs/2026-04-04_out_of_time_check_10seed/seattle/timestamp_split/seattle_pooled_pairwise_all_models_leaderboard.csv,/Users/seoki/Desktop/research/outputs/2026-04-04_out_of_time_check_10seed/seattle/timestamp_split/seattle_pooled_pairwise_all_models_run_summary.json,
