dataset,model_family,model_name,baseline_f1_mean,baseline_f1_std,baseline_ece_mean,out_of_time_f1_mean,out_of_time_ece_mean,out_of_time_delta_f1_mean,in_f1_band,ece_gate_pass,temporal_gate_pass,temporal_penalty,robust_score
houston_pooled_pairwise,tabular,hgbt,0.8285714285714286,0.0,0.022859754716981127,0.7272727272727273,0.02404045858585858,-0.10129870129870133,True,True,False,0.05129870129870133,0.7772727272727273
houston_pooled_pairwise,regional_raster_cnn,cnn_weighted,0.8196568438330925,0.027420246242923815,0.16743893820754718,0.6223936568208102,0.31053793959595954,-0.1972631870122823,True,False,False,0.1472631870122823,0.6723936568208102
houston_pooled_pairwise,regional_raster_cnn,cnn_weighted_temp,0.8195196010881554,0.032895745677278,0.161975529009434,0.5786823768571829,0.32686356505050507,-0.24083722423097242,True,False,False,0.19083722423097244,0.628682376857183
houston_pooled_pairwise,tabular,extra_trees,0.8135347217251688,0.004816176493813196,0.03480931556603774,0.5766092527768302,0.027457388686868683,-0.23692546894833866,False,True,False,0.18692546894833867,0.6266092527768301
houston_pooled_pairwise,regional_raster_cnn,cnn_focal_temp,0.8116636538652064,0.024917119271153865,0.11882935117924529,0.5807416687241848,0.2724252678787879,-0.2309219851410217,False,False,False,0.1809219851410217,0.6307416687241847
houston_pooled_pairwise,regional_raster_cnn,cnn_focal,0.8088030833748298,0.032801170394491146,0.22046056249999998,0.5674568054982851,0.3277595614141415,-0.2413462778765446,False,False,False,0.19134627787654462,0.6174568054982852
houston_pooled_pairwise,tabular,random_forest,0.8055866400840355,0.005275626433575141,0.028569442688679243,0.6283140672910493,0.023533058989898988,-0.17727257279298614,False,True,False,0.12727257279298615,0.6783140672910493
houston_pooled_pairwise,tabular,logreg,0.7317073170731707,0.0,0.0716120754716981,0.5116279069767442,0.06383514343434345,-0.2200794100964265,False,True,False,0.17007941009642652,0.5616279069767443
houston_pooled_pairwise,tabular,torch_mlp,0.7302238102065888,0.040984701146504314,0.1902213570754717,0.555506216355273,0.21207590464646464,-0.1747175938513158,False,False,False,0.1247175938513158,0.605506216355273
houston_pooled_pairwise,tabular,rule_score,0.41379310344827586,0.0,0.17181186792452835,0.4864864864864865,0.16708194545454547,0.07269338303821066,False,False,True,0.0,0.41379310344827586
